approach,class,support,precision,sensitivity_recall,specificity,f1,delta_precision_vs_step1,delta_sensitivity_recall_vs_step1,delta_specificity_vs_step1,delta_f1_vs_step1
Step 1 — Alignment metrics (LogReg),low_quality,28,0.4339622641509434,0.8214285714285714,0.719626168224299,0.5679012345679013,0.0,0.0,0.0,0.0
Step 1 — Alignment metrics (LogReg),uncertain,53,0.6666666666666666,0.7169811320754716,0.7682926829268293,0.6909090909090909,0.0,0.0,0.0,0.0
Step 1 — Alignment metrics (LogReg),high_quality,54,0.52,0.24074074074074073,0.8518518518518519,0.3291139240506329,0.0,0.0,0.0,0.0
"Step 4 — Decision fusion MIN(ECG, PCG)",low_quality,28,0.32941176470588235,1.0,0.4672897196261682,0.49557522123893805,-0.10455049944506106,0.1785714285714286,-0.2523364485981308,-0.07232601332896327
"Step 4 — Decision fusion MIN(ECG, PCG)",uncertain,53,0.7021276595744681,0.6226415094339622,0.8292682926829268,0.66,0.03546099290780147,-0.09433962264150941,0.060975609756097504,-0.030909090909090886
"Step 4 — Decision fusion MIN(ECG, PCG)",high_quality,54,0.6666666666666666,0.037037037037037035,0.9876543209876543,0.07017543859649122,0.1466666666666666,-0.2037037037037037,0.1358024691358024,-0.25893848545414166
Step 5 — Feature fusion (ECG SQIs + PCG SQIs),low_quality,28,0.6111111111111112,0.7857142857142857,0.8691588785046729,0.6875000000000001,0.17714884696016775,-0.0357142857142857,0.14953271028037385,0.1195987654320988
Step 5 — Feature fusion (ECG SQIs + PCG SQIs),uncertain,53,0.6923076923076923,0.6792452830188679,0.8048780487804879,0.6857142857142857,0.02564102564102566,-0.037735849056603765,0.03658536585365857,-0.0051948051948051965
Step 5 — Feature fusion (ECG SQIs + PCG SQIs),high_quality,54,0.6382978723404256,0.5555555555555556,0.7901234567901234,0.594059405940594,0.11829787234042555,0.3148148148148149,-0.06172839506172845,0.26494548188996114
